Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
6.5,32747.754435707044,0.0025738788803357816
6.4,32747.754479795956,0.0030167548524747123
6.3,32747.754664424374,0.002724328717213493
6.2,32747.75476607766,0.0028914620099200782
6.1,32747.754981767263,0.0027238312599168284
6.0,32747.754528800113,0.002815192956882715
5.9,32747.754426688924,0.0028777914326834683
5.8,32747.75462638211,0.002761482993283691
5.7,32747.754631428117,0.0028530521574851035
5.6,32747.735141799996,0.0033014435130117007
5.5,32747.696497306613,0.004022560682203862
5.4,32747.637344710194,0.005469199282341232
5.3,32747.598525877904,0.004598067058293921
5.2,32747.559488372895,0.003979252567230587
5.1,32747.501333922395,0.005345041295554378
5.0,32747.462198682435,0.003922460628196909
4.9,32747.423386913513,0.0036455277446190266
4.8,32747.364662478132,0.005263463580080944
4.7,32747.325856976546,0.004271767875026212
4.6,32747.286701071498,0.004142524041642263
4.5,32747.22880845242,0.0055407857836183485
4.4,32747.189720836523,0.004210758463108077
4.3,32747.150354955593,0.003916764412314204
4.199999999999999,32747.111139404624,0.0039996578465577885
4.1,32747.05272442624,0.004849024347513684
4.0,32747.01350923229,0.00395695777852395
3.9,32746.973634541177,0.0041675817493751315
3.8,459852.1727673569,6025061.099083691
3.6999999999999997,32746.87646972306,0.003970661343194002
3.5999999999999996,32746.831701949035,0.004110017924833653
3.5,32746.779203365215,0.004721363680207735
3.4,32746.740571285027,0.004241294668743866
3.3,32746.70212289639,0.004137492847210867
3.1999999999999997,32746.643768528338,0.005378506878312329
3.0999999999999996,32746.60432220182,0.004047110923759114
3.0,262286.06944166956,3969109.3848396707
2.9,32746.51655913285,0.00369828349302326
2.8,32746.468077419177,0.004581567677873885
2.6999999999999997,32746.428309403116,0.003819723728844825
2.5999999999999996,32746.389178167985,0.004103587352998264
2.5,32746.350210077253,0.003980827071693657
2.3999999999999995,32746.29148126838,0.004702920659791693
2.3,32746.23260977236,0.005616126806788712
2.2,459946.54675857356,6026402.5550335385
2.0999999999999996,32746.153953381174,0.004066961867224953
2.0,32746.113459219214,0.018727497042980813
1.8999999999999995,32746.056622896755,0.005211878280535881
1.7999999999999998,32746.017681812034,0.004207968809442782
1.6999999999999993,32745.965872205168,0.004977373306787581
1.5999999999999996,32745.919982182502,0.003991871079769725
1.5,32745.883011241815,0.0036710260633240482
1.3999999999999995,32745.842349895454,0.004244965570299522
1.2999999999999998,32745.80312649497,0.004094847532474303
1.1999999999999993,32745.744240466083,0.0048675154097015325
1.0999999999999996,32745.70523856387,0.003847785700026508
1.0,32745.646681386566,0.005175090142860612
0.8999999999999995,32745.6069408963,0.003971558572194962
0.7999999999999998,32745.568211268732,0.004206186721672104
0.6999999999999993,32745.509495029655,0.005304249672445368
0.5999999999999996,32745.470216229172,0.004207883028586038
0.5,32745.41954995945,0.0048491432779518735
0.39999999999999947,32745.3724606642,0.004738842475298793
0.2999999999999998,32745.3331466204,0.0038697640750315707
